"country","ISO2","ISO3","population","date","confirmed","deaths","active","recovered"
"Canada","CA","CAN",37411038,2020-01-22,0,0,0,0
"Canada","CA","CAN",37411038,2020-01-23,0,0,0,0
"Canada","CA","CAN",37411038,2020-01-24,0,0,0,0
"Canada","CA","CAN",37411038,2020-01-25,0,0,0,0
"Canada","CA","CAN",37411038,2020-01-26,1,0,0,0
"Canada","CA","CAN",37411038,2020-01-27,1,0,0,0
"Canada","CA","CAN",37411038,2020-01-28,2,0,0,0
"Canada","CA","CAN",37411038,2020-01-29,2,0,0,0
"Canada","CA","CAN",37411038,2020-01-30,3,0,0,0
"Canada","CA","CAN",37411038,2020-01-31,3,0,0,0
"Canada","CA","CAN",37411038,2020-02-01,4,0,0,0
"Canada","CA","CAN",37411038,2020-02-02,4,0,0,0
"Canada","CA","CAN",37411038,2020-02-03,4,0,0,0
"Canada","CA","CAN",37411038,2020-02-04,4,0,0,0
"Canada","CA","CAN",37411038,2020-02-05,5,0,0,0
"Canada","CA","CAN",37411038,2020-02-06,5,0,0,0
"Canada","CA","CAN",37411038,2020-02-07,7,0,0,0
"Canada","CA","CAN",37411038,2020-02-08,7,0,0,0
"Canada","CA","CAN",37411038,2020-02-09,7,0,0,0
"Canada","CA","CAN",37411038,2020-02-10,7,0,0,0
"Canada","CA","CAN",37411038,2020-02-11,7,0,0,0
"Canada","CA","CAN",37411038,2020-02-12,7,0,0,1
"Canada","CA","CAN",37411038,2020-02-13,7,0,0,1
"Canada","CA","CAN",37411038,2020-02-14,7,0,0,1
"Canada","CA","CAN",37411038,2020-02-15,7,0,0,1
"Canada","CA","CAN",37411038,2020-02-16,7,0,0,1
"Canada","CA","CAN",37411038,2020-02-17,8,0,0,1
"Canada","CA","CAN",37411038,2020-02-18,8,0,0,1
"Canada","CA","CAN",37411038,2020-02-19,8,0,0,1
"Canada","CA","CAN",37411038,2020-02-20,8,0,0,1
"Canada","CA","CAN",37411038,2020-02-21,9,0,0,3
"Canada","CA","CAN",37411038,2020-02-22,9,0,0,3
"Canada","CA","CAN",37411038,2020-02-23,9,0,0,3
"Canada","CA","CAN",37411038,2020-02-24,10,0,0,3
"Canada","CA","CAN",37411038,2020-02-25,11,0,0,3
"Canada","CA","CAN",37411038,2020-02-26,11,0,0,3
"Canada","CA","CAN",37411038,2020-02-27,13,0,0,6
"Canada","CA","CAN",37411038,2020-02-28,14,0,0,6
"Canada","CA","CAN",37411038,2020-02-29,20,0,0,6
"Canada","CA","CAN",37411038,2020-03-01,24,0,0,6
"Canada","CA","CAN",37411038,2020-03-02,27,0,0,6
"Canada","CA","CAN",37411038,2020-03-03,30,0,0,6
"Canada","CA","CAN",37411038,2020-03-04,33,0,0,6
"Canada","CA","CAN",37411038,2020-03-05,37,0,0,6
"Canada","CA","CAN",37411038,2020-03-06,49,0,0,6
"Canada","CA","CAN",37411038,2020-03-07,54,0,0,8
"Canada","CA","CAN",37411038,2020-03-08,64,0,0,8
"Canada","CA","CAN",37411038,2020-03-09,76,1,0,8
"Canada","CA","CAN",37411038,2020-03-10,79,1,0,8
"Canada","CA","CAN",37411038,2020-03-11,108,1,0,8
"Canada","CA","CAN",37411038,2020-03-12,117,1,0,8
"Canada","CA","CAN",37411038,2020-03-13,193,1,0,8
"Canada","CA","CAN",37411038,2020-03-14,196,1,0,8
"Canada","CA","CAN",37411038,2020-03-15,250,1,0,8
"Canada","CA","CAN",37411038,2020-03-16,415,4,0,9
"Canada","CA","CAN",37411038,2020-03-17,478,6,0,9
"Canada","CA","CAN",37411038,2020-03-18,657,11,0,9
"Canada","CA","CAN",37411038,2020-03-19,800,11,0,9
"Canada","CA","CAN",37411038,2020-03-20,943,15,0,9
"Canada","CA","CAN",37411038,2020-03-21,1278,19,0,10
"Canada","CA","CAN",37411038,2020-03-22,1470,22,0,0
"Canada","CA","CAN",37411038,2020-03-23,2088,29,0,0
"Canada","CA","CAN",37411038,2020-03-24,2790,33,0,110
"Canada","CA","CAN",37411038,2020-03-25,3251,42,0,183
"Canada","CA","CAN",37411038,2020-03-26,4042,57,0,184
