"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,8414240,NA,NA,NA,NA,0,0,0,0,0,0,0,0.416,0.416,0.1,0.1,47026208,0.0875,0.0466666666666667,0.175,0.311111111111111,80,0.416,0.416,230,0.1,0.1,230,0.331225806451613,0.320688172043011,0.119354838709677,0.154480286738351
"2","ES","ESAN","ESCO",782979,0,0,0,0,3,8414240,NA,NA,NA,NA,0,0,0,0,0,0,0,0.416,0.416,0.1,0.1,47026208,0.0875,0.0466666666666667,0.175,0.311111111111111,80,0.416,0.416,230,0.1,0.1,230,0.331225806451613,0.320688172043011,0.119354838709677,0.154480286738351
"3","ES","ESAN","ESGR",914678,0.18,0.18,0.06,0.06,50,8414240,NA,NA,NA,NA,0,0,0,0,0,0,0,0.416,0.416,0.1,0.1,47026208,0.0875,0.0466666666666667,0.175,0.311111111111111,80,0.416,0.416,230,0.1,0.1,230,0.331225806451613,0.320688172043011,0.119354838709677,0.154480286738351
"4","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,8414240,NA,NA,NA,NA,0,0,0,0,0,0,0,0.416,0.416,0.1,0.1,47026208,0.0875,0.0466666666666667,0.175,0.311111111111111,80,0.416,0.416,230,0.1,0.1,230,0.331225806451613,0.320688172043011,0.119354838709677,0.154480286738351
"5","ES","ESAN","ESCA",1240155,0,0,0,0,10,8414240,NA,NA,NA,NA,0,0,0,0,0,0,0,0.416,0.416,0.1,0.1,47026208,0.0875,0.0466666666666667,0.175,0.311111111111111,80,0.416,0.416,230,0.1,0.1,230,0.331225806451613,0.320688172043011,0.119354838709677,0.154480286738351
"6","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,8414240,NA,NA,NA,NA,0,0,0,0,0,0,0,0.416,0.416,0.1,0.1,47026208,0.0875,0.0466666666666667,0.175,0.311111111111111,80,0.416,0.416,230,0.1,0.1,230,0.331225806451613,0.320688172043011,0.119354838709677,0.154480286738351
"7","ES","ESAN","ESMA",1661785,NA,NA,NA,NA,0,8414240,NA,NA,NA,NA,0,0,0,0,0,0,0,0.416,0.416,0.1,0.1,47026208,0.0875,0.0466666666666667,0.175,0.311111111111111,80,0.416,0.416,230,0.1,0.1,230,0.331225806451613,0.320688172043011,0.119354838709677,0.154480286738351
"8","ES","ESAN","ESSE",1942389,0.2,0.2,0.05,0.05,40,8414240,NA,NA,NA,NA,0,0,0,0,0,0,0,0.416,0.416,0.1,0.1,47026208,0.0875,0.0466666666666667,0.175,0.311111111111111,80,0.416,0.416,230,0.1,0.1,230,0.331225806451613,0.320688172043011,0.119354838709677,0.154480286738351
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,1319291,NA,NA,NA,NA,0,0,0,0,0,0,0,0.416,0.416,0.1,0.1,47026208,0.0875,0.0466666666666667,0.175,0.311111111111111,80,0.416,0.416,230,0.1,0.1,230,0.331225806451613,0.320688172043011,0.119354838709677,0.154480286738351
"10","ES","ESAR","ESHU",220461,NA,NA,NA,NA,0,1319291,NA,NA,NA,NA,0,0,0,0,0,0,0,0.416,0.416,0.1,0.1,47026208,0.0875,0.0466666666666667,0.175,0.311111111111111,80,0.416,0.416,230,0.1,0.1,230,0.331225806451613,0.320688172043011,0.119354838709677,0.154480286738351
