PrescriptionIndex,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
1,Aruba,,2021-04-06,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-07,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-08,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-09,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-10,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-11,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-12,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-14,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-15,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-16,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-17,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-18,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-19,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-20,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-21,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-22,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-23,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-24,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-25,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-26,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-27,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-28,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-29,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-04-30,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-01,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-02,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-03,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-04,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-05,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-06,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-07,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-08,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-09,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-10,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-11,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-12,3,3,2,4,2,3,2,4,2,3,2,4
1,Aruba,,2021-05-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-14,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-15,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-16,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-17,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-18,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-19,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-20,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-21,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-22,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-23,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-24,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-25,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-26,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-27,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-02-28,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-01,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-02,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-03,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-04,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-05,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-06,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-07,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-08,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-09,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-10,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-11,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-12,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-14,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-15,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-16,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-17,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-18,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-19,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-20,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-21,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-22,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-23,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-24,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-25,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-26,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-27,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-28,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-29,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-30,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-03-31,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-01,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-02,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-03,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-04,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-05,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-06,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-07,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-08,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-09,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-10,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-11,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-12,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-14,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-15,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-16,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-17,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-18,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-19,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-20,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-21,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-22,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-23,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-24,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-25,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-26,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-27,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-28,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-29,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-04-30,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-01,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-02,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-03,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-04,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-05,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-06,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-07,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-08,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-09,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-10,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-11,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-12,3,3,2,4,2,3,2,4,2,3,2,4
1,Afghanistan,,2021-05-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-14,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-15,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-16,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-17,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-18,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-19,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-20,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-21,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-22,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-23,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-24,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-25,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-26,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-27,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-02-28,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-01,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-02,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-03,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-04,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-05,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-06,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-07,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-08,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-09,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-10,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-11,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-12,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-14,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-15,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-16,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-17,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-18,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-19,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-20,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-21,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-22,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-23,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-24,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-25,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-26,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-27,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-28,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-29,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-30,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-03-31,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-01,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-02,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-03,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-04,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-05,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-06,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-07,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-08,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-09,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-10,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-11,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-12,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-14,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-15,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-16,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-17,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-18,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-19,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-20,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-21,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-22,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-23,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-24,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-25,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-26,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-27,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-28,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-29,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-04-30,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-01,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-02,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-03,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-04,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-05,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-06,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-07,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-08,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-09,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-10,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-11,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-12,3,3,2,4,2,3,2,4,2,3,2,4
1,Angola,,2021-05-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-02-13,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-14,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-15,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-16,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-17,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-18,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-19,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-20,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-21,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-22,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-23,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-24,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-25,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-26,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-27,3,3,2,4,2,3,1,4,2,3,2,4
1,Albania,,2021-02-28,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-01,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-02,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-03,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-04,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-05,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-06,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-07,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-08,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-09,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-10,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-11,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-12,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-14,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-15,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-16,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-17,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-18,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-19,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-20,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-21,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-22,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-23,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-24,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-25,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-26,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-27,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-28,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-29,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-30,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-03-31,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-01,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-02,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-03,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-04,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-05,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-06,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-07,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-08,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-09,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-10,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-11,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-12,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-13,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-14,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-15,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-16,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-17,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-18,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-19,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-20,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-21,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-22,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-23,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-24,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-25,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-26,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-27,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-28,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-29,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-04-30,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-05-01,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-05-02,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-05-03,3,3,2,4,2,3,2,4,2,3,2,4
1,Albania,,2021-05-04,3,3,2,4,2,3,2,4,2,3,2,4
