"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"3","BR","BRAM",3938336,0.1,0.1,0,0,100,0.1,0.1,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"5","BR","BRBA",15203934,0.24,0.24,0.06,0.06,50,0.24,0.24,0.06,0.06,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"6","BR","BRCE",8904459,0,0,0,0,10,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"7","BR","BRDF",2914830,0,0,0,0,40,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"10","BR","BRGO",6610681,0.166666666666667,0.166666666666667,0,0,6,0.166666666666667,0.166666666666667,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"11","BR","BRMA",6904241,0.133333333333333,0.133333333333333,0,0,30,0.133333333333333,0.133333333333333,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"12","BR","BRMG",20869101,0,0,0,0,30,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"13","BR","BRMS",2651235,0,0,0,0,20,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"14","BR","BRMT",3265486,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"15","BR","BRPA",8175113,0.15,0.15,0.01,0.01,100,0.15,0.15,0.01,0.01,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"16","BR","BRPB",3972202,0.1,0.1,0.0333333333333333,0.0333333333333333,300,0.1,0.1,0.0333333333333333,0.0333333333333333,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"17","BR","BRPE",9345173,0,0,0,0,80,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"18","BR","BRPI",3204028,0,0,0,0,7,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"19","BR","BRPR",11163018,0.142857142857143,0.142857142857143,0,0,7,0.142857142857143,0.142857142857143,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"20","BR","BRRJ",16550024,0.025,0.025,0,0,120,0.025,0.025,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"21","BR","BRRN",3442175,0.08,0.08,0,0,100,0.08,0.08,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"22","BR","BRRO",1768204,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"23","BR","BRRR",505665,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"24","BR","BRRS",11247972,0,0,0,0,3,0,0,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"25","BR","BRSC",6819190,0.00666666666666667,0.00666666666666667,0,0,300,0.00666666666666667,0.00666666666666667,0,0,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"26","BR","BRSE",2242937,0.075,0.075,0.015,0.015,200,0.075,0.075,0.015,0.015,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"27","BR","BRSP",44396484,0.0583333333333333,0.0583333333333333,0.00833333333333333,0.00833333333333333,120,0.0583333333333333,0.0583333333333333,0.00833333333333333,0.00833333333333333,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
"28","BR","BRTO",1515126,0.11,0.11,0.03,0.03,100,0.11,0.11,0.03,0.03,204453710,0.15,0.15,0,0,100,0.0680937268683516,0.0680937268683516,1723,0.00828884248710017,0.00828884248710017,1723,0.0725866656029456,0.0725866656029456,0.0078341610561018,0.0078341610561018
