"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","BR","BRAC",803513,0.0657142857142857,0.0657142857142857,0,0,350,0.0657142857142857,0.0657142857142857,0,0,204453710,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,33,0.103894241920125,0.103894241920125,1368,0.00337437659276775,0.00337437659276775,1368,0.10358838183207,0.10358838183207,0.00543622211199592,0.00543622211199592
"2","BR","BRAL",3340932,0.25,0.25,0.01,0.01,200,0.25,0.25,0.01,0.01,204453710,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,33,0.103894241920125,0.103894241920125,1368,0.00337437659276775,0.00337437659276775,1368,0.10358838183207,0.10358838183207,0.00543622211199592,0.00543622211199592
"3","BR","BRAM",3938336,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,33,0.103894241920125,0.103894241920125,1368,0.00337437659276775,0.00337437659276775,1368,0.10358838183207,0.10358838183207,0.00543622211199592,0.00543622211199592
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,33,0.103894241920125,0.103894241920125,1368,0.00337437659276775,0.00337437659276775,1368,0.10358838183207,0.10358838183207,0.00543622211199592,0.00543622211199592
"5","BR","BRBA",15203934,0.08,0.08,0,0,50,0.08,0.08,0,0,204453710,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,33,0.103894241920125,0.103894241920125,1368,0.00337437659276775,0.00337437659276775,1368,0.10358838183207,0.10358838183207,0.00543622211199592,0.00543622211199592
"6","BR","BRCE",8904459,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,33,0.103894241920125,0.103894241920125,1368,0.00337437659276775,0.00337437659276775,1368,0.10358838183207,0.10358838183207,0.00543622211199592,0.00543622211199592
"7","BR","BRDF",2914830,0.02,0.02,0,0,200,0.02,0.02,0,0,204453710,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,33,0.103894241920125,0.103894241920125,1368,0.00337437659276775,0.00337437659276775,1368,0.10358838183207,0.10358838183207,0.00543622211199592,0.00543622211199592
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,33,0.103894241920125,0.103894241920125,1368,0.00337437659276775,0.00337437659276775,1368,0.10358838183207,0.10358838183207,0.00543622211199592,0.00543622211199592
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,33,0.103894241920125,0.103894241920125,1368,0.00337437659276775,0.00337437659276775,1368,0.10358838183207,0.10358838183207,0.00543622211199592,0.00543622211199592
"10","BR","BRGO",6610681,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,33,0.103894241920125,0.103894241920125,1368,0.00337437659276775,0.00337437659276775,1368,0.10358838183207,0.10358838183207,0.00543622211199592,0.00543622211199592
