"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.071581127327411,0.071581127327411,1097,0.00544932476271617,0.00544932476271617,1097,0.0613141840232613,0.0613141840232613,0.00460902796044691,0.00460902796044691
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.071581127327411,0.071581127327411,1097,0.00544932476271617,0.00544932476271617,1097,0.0613141840232613,0.0613141840232613,0.00460902796044691,0.00460902796044691
"3","BR","BRAM",3938336,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.071581127327411,0.071581127327411,1097,0.00544932476271617,0.00544932476271617,1097,0.0613141840232613,0.0613141840232613,0.00460902796044691,0.00460902796044691
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.071581127327411,0.071581127327411,1097,0.00544932476271617,0.00544932476271617,1097,0.0613141840232613,0.0613141840232613,0.00460902796044691,0.00460902796044691
"5","BR","BRBA",15203934,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.071581127327411,0.071581127327411,1097,0.00544932476271617,0.00544932476271617,1097,0.0613141840232613,0.0613141840232613,0.00460902796044691,0.00460902796044691
"6","BR","BRCE",8904459,0.2,0.2,0,0,5,0.2,0.2,0,0,204453710,0.005,0.005,0,0,200,0.071581127327411,0.071581127327411,1097,0.00544932476271617,0.00544932476271617,1097,0.0613141840232613,0.0613141840232613,0.00460902796044691,0.00460902796044691
"7","BR","BRDF",2914830,0.266666666666667,0.266666666666667,0,0,15,0.266666666666667,0.266666666666667,0,0,204453710,0.005,0.005,0,0,200,0.071581127327411,0.071581127327411,1097,0.00544932476271617,0.00544932476271617,1097,0.0613141840232613,0.0613141840232613,0.00460902796044691,0.00460902796044691
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.071581127327411,0.071581127327411,1097,0.00544932476271617,0.00544932476271617,1097,0.0613141840232613,0.0613141840232613,0.00460902796044691,0.00460902796044691
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.071581127327411,0.071581127327411,1097,0.00544932476271617,0.00544932476271617,1097,0.0613141840232613,0.0613141840232613,0.00460902796044691,0.00460902796044691
"10","BR","BRGO",6610681,0.01,0.01,0,0,200,0.01,0.01,0,0,204453710,0.005,0.005,0,0,200,0.071581127327411,0.071581127327411,1097,0.00544932476271617,0.00544932476271617,1097,0.0613141840232613,0.0613141840232613,0.00460902796044691,0.00460902796044691
