"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.109058249102553,0.109058249102553,785,0.00485806732299334,0.00485806732299334,785,0.0879296706045726,0.0879296706045726,0.00387165771426373,0.00387165771426373
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.109058249102553,0.109058249102553,785,0.00485806732299334,0.00485806732299334,785,0.0879296706045726,0.0879296706045726,0.00387165771426373,0.00387165771426373
"3","BR","BRAM",3938336,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.109058249102553,0.109058249102553,785,0.00485806732299334,0.00485806732299334,785,0.0879296706045726,0.0879296706045726,0.00387165771426373,0.00387165771426373
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.109058249102553,0.109058249102553,785,0.00485806732299334,0.00485806732299334,785,0.0879296706045726,0.0879296706045726,0.00387165771426373,0.00387165771426373
"5","BR","BRBA",15203934,0,0,0,0,20,0,0,0,0,204453710,0.005,0.005,0,0,200,0.109058249102553,0.109058249102553,785,0.00485806732299334,0.00485806732299334,785,0.0879296706045726,0.0879296706045726,0.00387165771426373,0.00387165771426373
"6","BR","BRCE",8904459,0.2,0.2,0,0,5,0.2,0.2,0,0,204453710,0.005,0.005,0,0,200,0.109058249102553,0.109058249102553,785,0.00485806732299334,0.00485806732299334,785,0.0879296706045726,0.0879296706045726,0.00387165771426373,0.00387165771426373
"7","BR","BRDF",2914830,0.266666666666667,0.266666666666667,0,0,15,0.266666666666667,0.266666666666667,0,0,204453710,0.005,0.005,0,0,200,0.109058249102553,0.109058249102553,785,0.00485806732299334,0.00485806732299334,785,0.0879296706045726,0.0879296706045726,0.00387165771426373,0.00387165771426373
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.109058249102553,0.109058249102553,785,0.00485806732299334,0.00485806732299334,785,0.0879296706045726,0.0879296706045726,0.00387165771426373,0.00387165771426373
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.005,0.005,0,0,200,0.109058249102553,0.109058249102553,785,0.00485806732299334,0.00485806732299334,785,0.0879296706045726,0.0879296706045726,0.00387165771426373,0.00387165771426373
"10","BR","BRGO",6610681,0.01,0.01,0,0,200,0.01,0.01,0,0,204453710,0.005,0.005,0,0,200,0.109058249102553,0.109058249102553,785,0.00485806732299334,0.00485806732299334,785,0.0879296706045726,0.0879296706045726,0.00387165771426373,0.00387165771426373
