ISO2,ISO_3,country_agg,region_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope
RE,REU,Réunion,Saint-Paul,2020-12-16,2020-05-04,100,1,87,0,0,0,0,0,0,0,0,0.000143719459614832,0.000281664722189836,0,0,0,0,0,0,0,0,0.000143647035449688,0.000281522793733396,,,,,
RE,REU,Réunion,Saint-Paul,2020-12-17,2020-05-05,100,1,87,0,0,0,0,0,0,0,0,0.000143719459614832,0.000281664722189836,0,0,0,0,0,0,0,0,0.000143622572787633,0.000281474854653131,,,,,
RE,REU,Réunion,Saint-Paul,2020-12-20,2020-05-20,100,4,84,0,0,0,0,0,0,0,0,0.000143719459614832,0.000281664722189836,0,0,0,0,0,0,0,0,0.000143508659445181,0.000281251620531896,,,,,
RE,REU,Réunion,Saint-Paul,2020-12-21,2020-05-23,100,2,83,0,0,0,0,0,0,0,0,0.000143719459614832,0.000281664722189836,0,0,0,0,0,0,0,0,0.000143456116116162,0.000281148652226096,,,,,
RE,REU,Réunion,Saint-Paul,2020-12-25,2020-05-25,100,1,83,0,0,0,0,0,0,0,0,0.000143719459614832,0.000281664722189836,0,0,0,0,0,0,0,0,0.000143192929942678,0.00028063289056996,,,,,
RE,REU,Réunion,Saint-Paul,2020-12-26,2020-05-29,100,1,83,0,0,0,0,0,0,0,0,0.000143719459614832,0.000281664722189836,0,0,0,0,0,0,0,0,0.000143121808266456,0.000280493514579839,,,,,
RE,REU,Réunion,Saint-Paul,2020-12-28,2020-05-30,100,1,83,0,0,0,0,0,0,0,0,0.000142267747901551,0.000278819826397772,0,0,0,0,0,0,0,0,0.000142984418699506,0.000280224274483949,0,0,0,0,-1.10436125030234e-07
RE,REU,Réunion,Saint-Paul,2020-12-29,2020-06-04,100,1,83,0,0,0,0,0,0,0,0,0.000142267747901551,0.000278819826397772,0,0,0,0,0,0,0,0,0.000142920345168134,0.000280098710628455,0,0,0,0,-1.17037936583168e-07
RE,REU,Réunion,Saint-Paul,2020-12-30,2020-06-11,100,1,83,0,0,0,0,0,0,0,0,0.000142267747901551,0.000278819826397772,0,0,0,0,0,0,0,0,0.000142860244813357,0.000279980932942402,0,0,0,0,-1.08069105303978e-07
RE,REU,Réunion,Saint-Pierre,2020-12-29,2020-05-08,100,1,84,0,0,0,0,0,0,0,0,0.00229951135383731,0.00112544363774366,0,0,0,0,0,0,0,0,0.00229951135383731,0.00112544363774366,,,,,
RE,REU,Réunion,Saint-Pierre,2020-12-30,2020-05-15,100,1,84,0,0,0,0,0,0,0,0,0.00229951135383731,0.00112544363774366,0,0,0,0,0,0,0,0,0.00229951135383731,0.00112544363774366,,,,,
RE,REU,Réunion,Saint-Pierre,2020-12-31,2020-05-22,100,1,84,0,0,0,0,0,0,0,0,0.00229951135383731,0.00112544363774366,0,0,0,0,0,0,0,0,0.00229951135383731,0.00112544363774366,,,,,
