"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","sumreach_regs_rhs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"39","IT","IT45","ITRN",339017,NA,NA,0,4459477,0.00816326530612245,0.007,490,0,0,0,0.00816326530612245,0.007,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"40","IT","IT45","ITFE",345691,NA,NA,0,4459477,0.00816326530612245,0.007,490,0,0,0,0.00816326530612245,0.007,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"41","IT","IT45","ITPC",287152,NA,NA,0,4459477,0.00816326530612245,0.007,490,0,0,0,0.00816326530612245,0.007,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"42","IT","IT45","ITMO",705393,NA,NA,0,4459477,0.00816326530612245,0.007,490,0,0,0,0.00816326530612245,0.007,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"43","IT","IT45","ITFC",394627,NA,NA,0,4459477,0.00816326530612245,0.007,490,0,0,0,0.00816326530612245,0.007,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"44","IT","IT45","ITPR",451631,NA,NA,0,4459477,0.00816326530612245,0.007,490,0,0,0,0.00816326530612245,0.007,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"45","IT","IT45","ITRA",389456,NA,NA,0,4459477,0.00816326530612245,0.007,490,0,0,0,0.00816326530612245,0.007,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"46","IT","IT45","ITBO",1014619,NA,NA,0,4459477,0.00816326530612245,0.007,490,0,0,0,0.00816326530612245,0.007,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"47","IT","IT45","ITRE",531891,NA,NA,0,4459477,0.00816326530612245,0.007,490,0,0,0,0.00816326530612245,0.007,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"48","IT","IT52","ITAR",342654,NA,NA,0,3729641,NA,NA,370,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"49","IT","IT52","ITPO",257716,NA,NA,0,3729641,NA,NA,370,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"50","IT","IT52","ITPT",292473,NA,NA,0,3729641,NA,NA,370,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"51","IT","IT52","ITGR",221629,NA,NA,0,3729641,NA,NA,370,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"52","IT","IT52","ITLU",387876,NA,NA,0,3729641,NA,NA,370,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"53","IT","IT52","ITSI",267197,NA,NA,0,3729641,NA,NA,370,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"54","IT","IT52","ITMS",194878,NA,NA,0,3729641,NA,NA,370,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"55","IT","IT52","ITFI",1011349,NA,NA,0,3729641,NA,NA,370,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"56","IT","IT52","ITLI",334832,NA,NA,0,3729641,NA,NA,370,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"57","IT","IT52","ITPI",419037,NA,NA,0,3729641,NA,NA,370,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"58","IT","IT55","ITPG",656382,NA,NA,0,882015,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"59","IT","IT55","ITTR",225633,NA,NA,0,882015,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"60","IT","IT57","ITAN",471228,NA,NA,0,1525271,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"61","IT","IT57","ITFM",173800,NA,NA,0,1525271,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"62","IT","IT57","ITMC",314178,NA,NA,0,1525271,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"63","IT","IT57","ITPU",358886,NA,NA,0,1525271,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"64","IT","IT57","ITAP",207179,NA,NA,0,1525271,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"65","IT","IT62","ITLT",575254,NA,NA,0,5879082,NA,NA,153,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"66","IT","IT62","ITRI",155503,NA,NA,0,5879082,NA,NA,153,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"67","IT","IT62","ITRM",4342212,NA,NA,0,5879082,NA,NA,153,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"68","IT","IT62","ITVT",317030,NA,NA,0,5879082,NA,NA,153,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"69","IT","IT62","ITFR",489083,NA,NA,0,5879082,NA,NA,153,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"70","IT","IT65","ITCH",385588,NA,NA,0,1311580,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"71","IT","IT65","ITAQ",299031,NA,NA,0,1311580,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"72","IT","IT65","ITPE",318909,NA,NA,0,1311580,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"73","IT","IT65","ITTE",308052,NA,NA,0,1311580,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"74","IT","IT67","ITIS",84379,NA,NA,0,305617,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"75","IT","IT67","ITCB",221238,NA,NA,0,305617,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"76","IT","IT72","ITNA",3084890,NA,NA,0,5801692,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"77","IT","IT72","ITBN",277018,NA,NA,0,5801692,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"78","IT","IT72","ITAV",418306,NA,NA,0,5801692,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"79","IT","IT72","ITCE",922965,NA,NA,0,5801692,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"80","IT","IT72","ITSA",1098513,NA,NA,0,5801692,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"81","IT","IT75","ITBA",1251994,NA,NA,0,4029053,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"82","IT","IT75","ITBT",390011,NA,NA,0,4029053,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"83","IT","IT75","ITLE",795134,NA,NA,0,4029053,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"84","IT","IT75","ITFG",622183,NA,NA,0,4029053,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"85","IT","IT75","ITTA",576756,NA,NA,0,4029053,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"86","IT","IT75","ITBR",392975,NA,NA,0,4029053,NA,NA,30,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"87","IT","IT77","ITMT",197909,NA,NA,0,562869,NA,NA,14,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"88","IT","IT77","ITPZ",364960,NA,NA,0,562869,NA,NA,14,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"89","IT","IT78","ITRC",548009,NA,NA,0,1947131,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"90","IT","IT78","ITVV",160073,NA,NA,0,1947131,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"91","IT","IT78","ITCZ",358316,NA,NA,0,1947131,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"92","IT","IT78","ITKR",174980,NA,NA,0,1947131,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"93","IT","IT78","ITCS",705753,NA,NA,0,1947131,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"94","IT","IT82","ITAG",434870,NA,NA,0,4999891,NA,NA,2,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"95","IT","IT82","ITEN",164788,NA,NA,0,4999891,NA,NA,2,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"96","IT","IT82","ITRG",320893,NA,NA,0,4999891,NA,NA,2,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"97","IT","IT82","ITCT",1107702,NA,NA,0,4999891,NA,NA,2,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"98","IT","IT82","ITPA",1252588,NA,NA,0,4999891,NA,NA,2,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"99","IT","IT82","ITME",626876,NA,NA,0,4999891,NA,NA,2,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"100","IT","IT82","ITTP",430492,NA,NA,0,4999891,NA,NA,2,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"101","IT","IT82","ITCL",262458,NA,NA,0,4999891,NA,NA,2,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"102","IT","IT82","ITSR",399224,NA,NA,0,4999891,NA,NA,2,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"103","IT","IT88","ITOG",57275,NA,NA,0,1733064,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"104","IT","IT88","ITCI",127133,NA,NA,0,1733064,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"105","IT","IT88","ITVS",99422,NA,NA,0,1733064,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"106","IT","IT88","ITSS",491571,NA,NA,0,1733064,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"107","IT","IT88","ITNU",208550,NA,NA,0,1733064,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"108","IT","IT88","ITOT",160368,NA,NA,0,1733064,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"109","IT","IT88","ITCA",431038,NA,NA,0,1733064,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
"110","IT","IT88","ITOR",157707,NA,NA,0,1733064,NA,NA,0,0,0,0,NA,NA,60453010,0.0162010249628038,0.0175568181818182,6049,0.0257569364170367,0.0374006035428004,2278,0.0188152157028953,0.0229854411015152
