"date","country","region","population","p_cases_infected","p_cases_recent","p_cases_active"
2020-04-07,"UA","UA05",1604270,0,0,0
2020-04-07,"UA","UA07",1042855,0,0,0
2020-04-07,"UA","UA09",2263676,0,0,0
2020-04-07,"UA","UA12",3258705,0,0,0
2020-04-07,"UA","UA14",4387702,0,0,0
2020-04-07,"UA","UA18",1249225,0,0,0
2020-04-07,"UA","UA21",1259497,0,NA,NA
2020-04-07,"UA","UA23",1755663,0,0,0
2020-04-07,"UA","UA26",1382721,0,0,0
2020-04-07,"UA","UA30",2900920,0,0,0
2020-04-07,"UA","UA32",1731673,0.017725258493353,NA,NA
2020-04-07,"UA","UA35",974724,0,0,0
2020-04-07,"UA","UA40",381685,0,0,0
2020-04-07,"UA","UA43",1963770,0,0,0
2020-04-07,"UA","UA46",2535476,0.03,NA,NA
2020-04-07,"UA","UA48",1159634,0,0,0
2020-04-07,"UA","UA51",2387282,0,0,0
2020-04-07,"UA","UA53",1440684,0,0,0
2020-04-07,"UA","UA56",1162049,0,0,0
2020-04-07,"UA","UA59",1115051,0,0,0
2020-04-07,"UA","UA61",1066523,0,0,0
2020-04-07,"UA","UA63",2720342,0,NA,NA
2020-04-07,"UA","UA65",1063803,0,0,0
2020-04-07,"UA","UA68",1296103,0,0,0
2020-04-07,"UA","UA71",1246166,0,0,0
2020-04-07,"UA","UA74",1047023,0,0,0
2020-04-07,"UA","UA77",910001,0,0,0
2020-04-08,"UA","UA05",1604270,0.04,NA,NA
2020-04-08,"UA","UA07",1042855,0,NA,NA
2020-04-08,"UA","UA09",2263676,0,0,0
2020-04-08,"UA","UA12",3258705,0,NA,NA
2020-04-08,"UA","UA14",4387702,0,NA,NA
2020-04-08,"UA","UA18",1249225,0,0,0
2020-04-08,"UA","UA21",1259497,0,NA,NA
2020-04-08,"UA","UA23",1755663,0.005,NA,NA
2020-04-08,"UA","UA26",1382721,0,NA,NA
2020-04-08,"UA","UA30",2900920,0,0,0
2020-04-08,"UA","UA32",1731673,0.00710227272727273,NA,NA
2020-04-08,"UA","UA35",974724,0.15,NA,NA
2020-04-08,"UA","UA40",381685,0,0,0
2020-04-08,"UA","UA43",1963770,0,0,0
2020-04-08,"UA","UA46",2535476,0.0117647058823529,NA,NA
2020-04-08,"UA","UA48",1159634,0,0,0
2020-04-08,"UA","UA51",2387282,0,NA,NA
2020-04-08,"UA","UA53",1440684,0.057649667405765,NA,NA
2020-04-08,"UA","UA56",1162049,0,0,0
2020-04-08,"UA","UA59",1115051,0,0,0
2020-04-08,"UA","UA61",1066523,0,0,0
2020-04-08,"UA","UA63",2720342,0.00131578947368421,NA,NA
2020-04-08,"UA","UA65",1063803,0,NA,NA
2020-04-08,"UA","UA68",1296103,0,NA,NA
2020-04-08,"UA","UA71",1246166,0,NA,NA
2020-04-08,"UA","UA74",1047023,0,0,0
2020-04-08,"UA","UA77",910001,0,0,0
2020-04-09,"UA","UA05",1604270,0.04,NA,NA
2020-04-09,"UA","UA07",1042855,0,NA,NA
2020-04-09,"UA","UA09",2263676,0,0,0
2020-04-09,"UA","UA12",3258705,0,NA,NA
2020-04-09,"UA","UA14",4387702,0,NA,NA
2020-04-09,"UA","UA18",1249225,0,0,0
2020-04-09,"UA","UA21",1259497,0,NA,NA
2020-04-09,"UA","UA23",1755663,0.005,NA,NA
2020-04-09,"UA","UA26",1382721,0,NA,NA
2020-04-09,"UA","UA30",2900920,0,0,0
2020-04-09,"UA","UA32",1731673,0.00987972508591065,NA,NA
2020-04-09,"UA","UA35",974724,0.15,NA,NA
2020-04-09,"UA","UA40",381685,0,0,0
2020-04-09,"UA","UA43",1963770,0.05,NA,NA
2020-04-09,"UA","UA46",2535476,0.00658616904500549,NA,NA
2020-04-09,"UA","UA48",1159634,0,0,0
2020-04-09,"UA","UA51",2387282,0,NA,NA
2020-04-09,"UA","UA53",1440684,0.057649667405765,NA,NA
2020-04-09,"UA","UA56",1162049,0,0,0
2020-04-09,"UA","UA59",1115051,0,0,0
2020-04-09,"UA","UA61",1066523,0,0,0
2020-04-09,"UA","UA63",2720342,0.00206185567010309,NA,NA
2020-04-09,"UA","UA65",1063803,0,NA,NA
