ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
YT,MYT,Mayotte,2021-04-07,2020-12-26,100,4,43432.2952359349,3,41560.3143694355,74,82,21,3,2079749.69803884,58,7,91,2,13,85,2,11,87,2,29,69,2,13,83,4,24,73,3,12,86,2,4,92,4,4,90,6,10,87,3,14,83,3,25,73,2,26,63,11,9,13,78,55,30,15,21,33,46,3,18,79,32,42,26,50,26,24,24,49,27,41,33,26,12,62,26,17,58,25,45,31,24,25,8,6,6,55,15,57,28,40,23,6,1,2,1,27,24,18,17,15,26,2,7,7,11,42,31,3,7,11,14,36,29,29,22,10,8,31,7,17,9,37,30,27,33,0,2,38,6,16,11,11,11,6,1,38,22,22,13,43,29.0625,55.9151357312683,20.4986149584488,13.3488756184681,7.68494897959184,22.9970344816667,0.04,0.0384072934108425,0.0208834242297959,0.000194339290556183,0.03,0.0334344809563718,0.0199833251129336,0.000190192403051876,0.0127104087942288,0.00287749136449262
YT,MYT,Mayotte,2021-04-10,2021-01-01,100,4,43432.2952359349,3,41560.3143694355,76,82,22,3,2125082.86488292,58,7,91,2,12,86,2,10,88,2,28,70,2,13,83,4,23,74,3,13,85,2,4,92,4,4,90,6,10,87,3,14,83,3,24,74,2,27,63,10,9,14,77,56,30,14,22,33,45,3,19,78,33,41,26,49,27,24,24,49,27,43,31,26,12,62,26,18,57,25,47,29,24,26,8,7,6,53,16,55,29,39,23,6,1,2,1,28,22,18,17,16,27,2,7,7,10,42,32,3,7,11,14,35,30,28,22,11,7,32,7,16,8,38,31,25,34,0,2,39,6,17,11,10,10,6,1,39,22,22,13,43,27.7810826888757,53.992525009714,21.0526315789474,12.8920512778062,7.55739795918367,23.0198930654042,0.04,0.0384072934108425,0.020437930187879,0.000190236826307045,0.03,0.0334344809563718,0.0195570323662298,0.000186175616848782,0.013053933356235,0.00291560976654623
YT,MYT,Mayotte,2021-04-11,2021-01-02,100,4,43432.2952359349,3,41560.3143694355,75,82,23,3,2211265.02751005,57,7,91,2,13,85,2,10,88,2,26,72,2,12,84,4,21,76,3,13,85,2,4,92,4,3,91,6,9,88,3,12,85,3,25,73,2,26,64,10,9,13,78,57,29,14,23,33,44,3,20,77,35,39,26,49,27,24,25,48,27,42,32,26,14,60,26,20,55,25,47,29,24,24,9,8,6,53,17,54,29,38,25,6,1,2,0,28,23,19,16,15,27,2,6,7,10,43,32,3,6,11,14,36,30,26,23,12,7,32,7,15,8,39,31,25,33,0,2,40,5,18,11,10,10,5,1,40,22,21,13,44,28.1875,56.0905503604982,23.1481481481482,13.3727630494184,7.49362244897959,23.0209724370063,0.04,0.0384072934108425,0.0196413793442214,0.000182896826574152,0.03,0.0334344809563718,0.0187948137615298,0.000178989116021244,0.0128821710752319,0.00289661662942869
YT,MYT,Mayotte,2021-04-12,2021-01-04,100,4,43432.2952359349,3,41560.3143694355,75,83,23,3,2090594.89690816,59,7,91,2,13,85,2,10,88,2,26,72,2,12,84,4,21,76,3,13,85,2,4,92,4,2,92,6,9,88,3,11,86,3,25,73,2,26,65,9,9,13,78,58,29,13,23,34,43,3,20,77,36,40,24,49,29,22,25,50,25,43,33,24,14,62,24,20,57,23,48,30,22,25,9,8,6,52,17,56,27,39,25,6,1,2,1,26,24,19,17,15,25,2,6,7,10,45,30,3,6,11,14,38,28,27,24,12,7,30,8,15,8,40,29,25,35,0,2,38,5,19,11,11,10,5,1,38,22,21,15,42,29.585798816568,58.1198616679692,23.1481481481482,13.3727630494184,7.07491082045184,21.8510720775183,0.04,0.0384072934108425,0.0207750890907503,0.000193341828720279,0.03,0.0334344809563718,0.0198796593404587,0.000189215765113497,0.0127269641948074,0.00286194260238043
YT,MYT,Mayotte,2021-04-13,2021-01-04,100,4,43432.2952359349,3,41560.3143694355,75,83,23,3,2091942.82106597,59,7,91,2,13,85,2,10,88,2,27,71,2,12,84,4,21,76,3,14,84,2,4,92,4,2,92,6,9,88,3,11,86,3,25,73,2,26,65,9,9,13,78,58,29,13,23,34,43,3,20,77,37,39,24,49,29,22,25,50,25,43,33,24,14,62,24,20,57,23,49,29,22,25,9,8,7,51,17,56,27,40,25,5,1,2,1,26,24,19,17,15,25,2,6,7,10,45,30,3,6,11,13,39,28,27,24,12,7,30,8,15,8,40,29,25,35,0,2,38,5,18,11,12,10,5,1,38,22,21,15,42,28.25,56.062579502845,23.1481481481482,13.3727630494184,7.10463733650416,21.8448369834045,0.04,0.0384072934108425,0.0207617028527594,0.000193218571345778,0.03,0.0334344809563718,0.0198668500644095,0.000189095081309521,0.0127269641948074,0.00286194260238043
YT,MYT,Mayotte,2021-04-17,2021-01-04,100,4,43432.2952359349,3,41560.3143694355,75,83,23,3,2107028.3675295,58,7,92,1,14,84,2,11,88,1,29,70,1,14,83,3,21,77,2,14,85,1,4,93,3,2,93,5,9,89,2,11,87,2,24,74,2,26,65,9,9,13,78,58,29,13,23,34,43,3,20,77,37,40,23,49,29,22,24,52,24,44,33,23,14,63,23,20,58,22,49,28,23,25,9,8,7,51,18,54,28,40,24,5,1,2,1,27,22,19,18,15,26,2,6,7,11,43,31,3,6,11,12,39,29,26,24,12,7,31,8,13,8,41,30,24,35,0,2,39,5,19,11,12,9,4,1,39,22,20,15,43,30.6365258774539,57.0493195432457,23.1481481481482,13.3727630494184,7.26377346875962,22.4241004310135,0.04,0.0384072934108425,0.020613056713071,0.000191849757115249,0.03,0.0334344809563718,0.0197246107408441,0.000187754852466949,0.0127269641948074,0.00286194260238043
YT,MYT,Mayotte,2021-04-22,2021-01-04,100,4,43432.2952359349,3,41560.3143694355,75,84,23,3,2115661.13860147,59,7,92,1,13,85,2,10,89,1,29,70,1,14,83,3,21,77,2,14,85,1,4,93,3,3,92,5,8,90,2,11,87,2,23,75,2,26,66,8,9,13,78,59,29,12,23,35,42,3,20,77,38,40,22,50,29,21,25,52,23,45,33,22,14,64,22,20,59,21,50,28,22,25,9,8,8,50,18,55,27,41,24,5,1,2,1,26,23,19,18,15,25,2,6,7,12,43,30,3,6,12,12,39,28,27,24,12,7,30,8,13,8,42,29,25,35,0,2,38,5,19,11,12,9,5,1,38,22,20,16,42,29.5918367346939,55.0455785953582,23.1481481481482,13.3727630494184,7.25326991676575,21.8607812885679,0.04,0.0384072934108425,0.0205289469298686,0.00019107513512615,0.03,0.0334344809563718,0.0196441261840771,0.000186996411245191,0.0125754527162978,0.00282808883792562
YT,MYT,Mayotte,2021-04-27,2021-01-06,100,4,43432.2952359349,3,41560.3143694355,75,84,23,3,2104228.71847921,59,7,92,1,13,85,2,10,89,1,29,70,1,14,83,3,21,77,2,14,85,1,4,93,3,3,92,5,8,90,2,11,87,2,23,75,2,26,66,8,9,13,78,59,29,12,23,35,42,3,20,77,38,40,22,50,29,21,25,52,23,45,33,22,14,64,22,21,58,21,49,29,22,24,9,8,8,51,18,55,27,41,24,5,1,2,1,26,23,18,18,16,25,2,6,6,12,44,30,3,6,12,11,40,28,27,24,12,7,30,8,13,8,42,29,25,36,0,2,37,5,20,11,11,9,5,1,38,22,21,15,42,29.5918367346939,55.0455785953582,23.1481481481482,13.3727630494184,7.25326991676575,21.8607812885679,0.04,0.0384072934108425,0.0206404821179918,0.000192102320990655,0.03,0.0334344809563718,0.0197508540799084,0.000188002141275583,0.0125754527162978,0.00282808883792562
YT,MYT,Mayotte,2021-04-28,2021-01-06,100,4,43432.2952359349,3,41560.3143694355,65,84,23,3,2110369.31900231,59,7,92,1,12,86,2,10,89,1,28,71,1,14,83,3,20,78,2,14,85,1,4,93,3,3,92,5,8,90,2,11,87,2,23,75,2,25,67,8,9,12,79,59,29,12,23,35,42,3,20,77,38,40,22,50,29,21,25,52,23,46,32,22,14,64,22,20,59,21,48,30,22,24,9,7,8,52,18,55,27,41,24,5,1,2,1,26,23,19,17,16,25,2,6,6,12,44,30,3,6,12,10,41,28,27,24,12,7,30,9,12,8,42,29,25,36,0,2,37,5,20,10,12,9,5,1,38,22,21,15,42,30.9339678762641,56.94335618246,22.4913494809689,11.6232849532312,7.26377346875962,22.4241004310135,0.04,0.0384072934108425,0.0205804239309486,0.00019154922851116,0.03,0.0334344809563718,0.0196933844684036,0.000187460601133433,0.0108987256874581,0.00263504183873082
YT,MYT,Mayotte,2021-04-29,2021-01-07,100,4,43432.2952359349,3,41560.3143694355,65,85,23,3,2112644.30490426,60,7,92,1,12,86,2,10,89,1,27,72,1,14,83,3,19,79,2,14,85,1,4,93,3,3,92,5,8,90,2,10,88,2,23,75,2,25,68,7,9,12,79,60,29,11,23,36,41,3,20,77,39,40,21,50,30,20,26,52,22,47,32,21,15,64,21,20,60,20,49,30,21,24,9,8,8,51,18,56,26,41,24,6,1,2,1,25,23,19,17,17,24,2,6,6,12,45,29,3,6,12,10,42,27,27,25,12,7,29,9,12,8,43,28,26,36,0,2,36,5,20,10,13,9,5,1,37,23,21,15,41,30.9339678762641,56.94335618246,22.4913494809689,11.6232849532312,7.07491082045184,21.8486852549942,0.04,0.0384072934108425,0.0205582620487092,0.000191345124895731,0.03,0.0334344809563718,0.0196721777882619,0.000187260760971731,0.0107705053852527,0.00260421012606668
YT,MYT,Mayotte,2021-04-30,2021-01-08,100,4,43432.2952359349,3,41560.3143694355,65,84,22,3,2050244.76088504,59,7,92,1,12,86,2,10,89,1,27,72,1,13,84,3,19,79,2,14,85,1,4,93,3,3,92,5,8,90,2,10,88,2,23,75,2,25,67,8,9,12,79,60,29,11,22,37,41,3,19,78,39,40,21,49,31,20,26,52,22,46,33,21,15,64,21,19,61,20,50,29,21,25,9,8,8,50,19,55,26,40,24,6,2,2,1,25,23,19,17,17,24,2,6,5,12,46,29,3,7,12,9,42,27,26,25,13,7,29,8,12,9,43,28,28,35,0,1,36,5,20,12,13,8,5,1,36,24,19,15,42,30.9339678762641,56.94335618246,22.4913494809689,11.6232849532312,7.29455216989843,22.4200580301619,0.04,0.0384072934108425,0.021183956210763,0.000197105757489861,0.03,0.0334344809563718,0.0202709038268655,0.000192901140438559,0.0108987256874581,0.00263504183873082
YT,MYT,Mayotte,2021-05-01,2021-01-08,100,4,43432.2952359349,3,41560.3143694355,65,84,22,3,2053392.38541715,59,7,92,1,12,86,2,10,89,1,27,72,1,13,84,3,19,79,2,14,85,1,4,93,3,3,92,5,8,90,2,10,88,2,23,75,2,25,67,8,9,12,79,60,29,11,22,37,41,3,19,78,40,39,21,49,31,20,25,53,22,46,33,21,15,64,21,19,61,20,50,29,21,25,9,8,8,50,19,55,26,41,23,6,2,2,1,25,23,18,17,18,24,2,5,6,12,46,29,3,6,12,10,42,27,25,25,14,7,29,8,12,10,42,28,28,35,0,1,36,5,19,13,13,8,5,1,36,24,19,15,42,30.9339678762641,56.94335618246,22.4913494809689,11.6232849532312,7.32533087103724,22.4159718843826,0.04,0.0384072934108425,0.0211514835373813,0.000196806880555191,0.03,0.0334344809563718,0.0202398307622985,0.000192608498531425,0.0108987256874581,0.00263504183873082
YT,MYT,Mayotte,2021-05-04,2021-01-09,100,4,43432.2952359349,3,41560.3143694355,65,85,21,2,2011789.6339289,60,7,92,1,12,86,2,10,89,1,26,73,1,12,85,3,18,80,2,13,86,1,4,93,3,2,93,5,8,90,2,9,89,2,22,76,2,25,68,7,9,12,79,61,29,10,21,39,40,2,19,79,41,39,20,50,31,19,26,53,21,48,32,20,17,63,20,18,63,19,51,29,20,25,10,8,8,49,18,57,25,41,23,7,2,2,1,24,23,18,17,19,23,2,5,6,11,48,28,3,6,12,9,44,26,25,25,14,8,28,8,13,9,43,27,29,35,0,1,35,5,19,14,13,8,5,1,35,24,19,16,41,31.2908982748364,56.8059787906222,22.4913494809689,11.6232849532312,7.25326991676575,21.8345235654581,0.04,0.0384072934108425,0.0215888850918842,0.000200831857111625,0.03,0.0334344809563718,0.0206583798169149,0.000196549544986402,0.0107705053852527,0.00260421012606668
YT,MYT,Mayotte,2021-05-05,2021-01-11,100,4,43432.2952359349,3,41560.3143694355,65,85,21,2,2021625.92373825,60,7,92,1,12,86,2,10,89,1,26,73,1,13,84,3,18,80,2,13,86,1,4,93,3,2,93,5,8,90,2,9,89,2,23,75,2,25,68,7,9,12,79,62,28,10,21,40,39,2,19,79,41,39,20,49,32,19,25,54,21,47,33,20,17,63,20,18,63,19,51,29,20,25,10,8,8,49,19,56,25,41,23,7,2,2,1,24,23,18,16,20,23,2,5,6,12,47,28,3,6,12,10,43,26,25,25,14,8,28,7,13,9,44,27,28,35,0,2,35,5,19,14,14,7,5,1,35,24,19,16,41,29.9319727891157,54.9173244126227,22.4913494809689,11.6232849532312,7.19381688466112,21.8402058113466,0.04,0.0384072934108425,0.0214838436359299,0.000199865430703214,0.03,0.0334344809563718,0.0205578657660785,0.000195603263509099,0.0107705053852527,0.00260421012606668
YT,MYT,Mayotte,2021-05-06,2021-01-13,100,4,43432.2952359349,3,41560.3143694355,65,84,21,2,2031064.83064093,60,7,92,1,12,86,2,10,89,1,26,73,1,13,84,3,18,80,2,13,86,1,4,93,3,2,93,5,8,90,2,9,89,2,23,75,2,25,67,8,9,12,79,61,28,11,21,39,40,2,19,79,41,39,20,49,32,19,25,54,21,47,33,20,17,63,20,18,63,19,51,29,20,25,10,8,8,49,19,56,25,41,23,7,2,2,1,24,23,18,16,20,23,2,5,6,12,47,28,3,6,12,10,43,26,25,25,14,8,28,7,13,9,44,27,28,35,0,2,35,5,19,14,14,7,5,1,35,24,19,16,41,31.2314098750744,56.832983004822,22.4913494809689,11.6232849532312,7.19381688466112,21.8402058113466,0.04,0.0384072934108425,0.0213840024113013,0.000198946750878069,0.03,0.0334344809563718,0.0204623278107379,0.000194703737628563,0.0108987256874581,0.00263504183873082
YT,MYT,Mayotte,2021-05-09,2021-01-14,100,5,52958.8122844263,4,51086.8314179268,65,84,20,2,2036156.9162109,59,8,91,1,13,85,2,10,89,1,26,73,1,14,83,3,19,79,2,14,85,1,5,92,3,3,92,5,9,89,2,10,88,2,24,74,2,25,67,8,9,12,79,60,29,11,20,39,41,2,18,80,40,39,21,49,31,20,25,53,22,46,33,21,17,62,21,18,62,20,50,29,21,24,10,8,8,50,19,55,26,41,23,6,2,2,1,25,23,18,15,20,24,2,5,6,12,46,29,3,6,12,10,42,27,25,25,13,8,29,7,13,9,43,28,27,35,0,2,36,5,19,13,14,7,5,1,36,23,19,16,42,31.9452706722189,56.7087722814826,22.4913494809689,11.6232849532312,7.29455216989843,22.4200580301619,0.05,0.042716424707947,0.0260091999112611,0.000218616729433853,0.04,0.0384072934108425,0.0250898302636688,0.000214819465227239,0.0108987256874581,0.00263504183873082
YT,MYT,Mayotte,2021-05-10,2021-01-14,100,5,52958.8122844263,4,51086.8314179268,65,84,21,2,2037460.89141758,60,8,91,1,12,86,2,10,89,1,27,72,1,14,83,3,18,80,2,14,85,1,5,92,3,4,92,4,9,89,2,10,88,2,24,74,2,25,67,8,9,12,79,61,28,11,21,39,40,2,19,79,40,40,20,49,31,20,25,54,21,45,34,21,17,62,21,18,62,20,50,30,20,24,10,8,8,50,19,56,25,41,24,6,2,2,1,24,24,18,15,20,23,2,5,6,12,47,28,3,6,12,11,42,26,25,25,14,8,28,7,13,9,44,27,28,35,0,2,35,5,19,13,14,8,5,1,35,23,19,17,41,31.0090702947846,54.6911326132099,22.4913494809689,11.6232849532312,7.07491082045184,21.8510720775183,0.05,0.042716424707947,0.0259925540203031,0.000218478681621617,0.04,0.0384072934108425,0.0250737727693918,0.000214683748723115,0.0108987256874581,0.00263504183873082
YT,MYT,Mayotte,2021-05-11,2021-01-14,100,5,52958.8122844263,4,51086.8314179268,66,85,21,2,2024187.35585467,60,8,91,1,11,87,2,9,90,1,26,73,1,14,83,3,17,81,2,14,85,1,5,93,2,4,92,4,9,89,2,9,89,2,23,75,2,26,67,7,10,12,78,62,28,10,21,40,39,2,19,79,41,40,19,50,31,19,26,54,20,45,35,20,17,63,20,18,63,19,50,31,19,24,10,8,8,50,19,56,25,41,24,6,2,2,1,24,24,18,15,20,23,2,5,6,12,47,28,3,6,12,11,42,26,25,25,14,8,28,7,13,9,44,27,28,35,0,2,35,5,19,13,14,8,5,1,35,23,19,17,41,31.0090702947846,54.6911326132099,20.3703703703704,11.2733256932421,7.07491082045184,21.8510720775183,0.05,0.042716424707947,0.0261629992556027,0.000219892105294875,0.04,0.0384072934108425,0.0252381931297839,0.000216073307079059,0.0109362054681027,0.00262394626244543
YT,MYT,Mayotte,2021-05-12,2021-01-15,100,5,52958.8122844263,4,51086.8314179268,66,85,21,2,2020734.42667694,61,8,91,1,11,87,2,9,90,1,26,73,1,14,83,3,17,81,2,14,85,1,5,93,2,4,92,4,9,89,2,9,89,2,23,75,2,26,67,7,10,12,78,62,28,10,21,40,39,2,19,79,41,40,19,50,31,19,26,54,20,45,35,20,17,63,20,17,64,19,49,32,19,24,9,8,8,51,19,56,25,41,24,6,2,2,1,24,24,18,15,20,23,2,5,6,12,47,28,3,6,12,11,42,26,25,25,14,8,28,8,12,9,44,27,28,36,0,2,34,5,19,13,15,8,5,1,34,23,19,18,40,31.0090702947846,54.6911326132099,20.3703703703704,11.2733256932421,6.86584314852054,21.3057394650421,0.05,0.042716424707947,0.0262077052705615,0.000220262789860541,0.04,0.0384072934108425,0.0252813188826293,0.000216437734243933,0.0109362054681027,0.00262394626244543
YT,MYT,Mayotte,2021-05-15,2021-01-15,100,5,52958.8122844263,4,51086.8314179268,66,84,21,2,2012853.13904449,60,8,91,1,11,87,2,9,90,1,27,72,1,14,83,3,17,81,2,14,85,1,5,93,2,4,92,4,9,89,2,10,88,2,23,75,2,26,66,8,10,12,78,62,27,11,21,40,39,2,19,79,40,40,20,50,30,20,25,54,21,44,35,21,17,62,21,17,63,20,48,32,20,24,9,7,8,52,19,55,26,41,24,5,2,2,1,25,24,18,15,19,24,2,5,6,12,46,29,3,6,12,11,41,27,25,24,14,8,29,8,12,9,43,28,28,35,0,2,35,5,19,13,14,8,5,1,35,23,18,18,41,31.0090702947846,54.6911326132099,20.3703703703704,11.2733256932421,7.07491082045184,21.8510720775183,0.05,0.042716424707947,0.0263103210349295,0.000221113573449905,0.04,0.0384072934108425,0.025380307398968,0.00021727415843063,0.0110663983903421,0.00265500895798789
YT,MYT,Mayotte,2021-05-17,2021-01-15,100,5,52958.8122844263,4,51086.8314179268,59,84,21,2,2009367.68131799,61,8,91,1,12,86,2,9,90,1,27,72,1,14,83,3,17,81,2,14,85,1,5,93,2,4,92,4,9,89,2,10,88,2,24,74,2,25,67,8,10,11,79,63,26,11,21,41,38,2,19,79,40,40,20,50,30,20,26,53,21,45,34,21,18,61,21,17,63,20,49,31,20,25,9,7,8,51,20,54,26,40,25,5,2,2,1,25,23,18,16,19,24,2,5,6,12,47,28,3,6,12,11,42,26,25,25,14,8,28,9,12,9,43,27,28,36,0,2,34,5,20,13,14,8,5,1,34,23,18,19,40,29.6376419686317,52.9514508247178,20.4152249134948,11.2223607147611,6.98075265728239,21.295650138761,0.05,0.042716424707947,0.0263559590297029,0.000221491927017205,0.04,0.0384072934108425,0.0254243321881328,0.000217646127269696,0.00989268947015426,0.00251175685181828
YT,MYT,Mayotte,2021-05-21,2021-01-16,100,5,52958.8122844263,4,51086.8314179268,57,84,21,2,2016396.8582345,60,7,92,1,12,86,2,9,90,1,26,73,1,13,84,3,16,82,2,14,85,1,5,93,2,4,92,4,8,90,2,9,89,2,23,75,2,24,68,8,10,10,80,62,27,11,21,41,38,2,19,79,41,39,20,50,30,20,26,53,21,46,33,21,18,61,21,17,63,20,48,31,21,25,8,7,8,52,20,53,27,39,25,5,2,2,1,26,23,17,16,19,25,2,5,6,11,47,29,3,6,12,10,42,27,24,25,14,8,29,8,12,9,43,28,28,36,0,1,35,5,20,12,14,8,5,1,35,23,18,18,41,30.952380952381,54.7202285486993,22.265625,12.0694064856838,7.13436385255648,21.8504959718147,0.05,0.042716424707947,0.0262640819281952,0.000220730218014499,0.04,0.0384072934108425,0.0253357027458657,0.000216897272801227,0.00955734406438632,0.00246923572718096
YT,MYT,Mayotte,2021-05-23,2021-01-16,100,5,52958.8122844263,4,51086.8314179268,57,84,21,2,2016073.50479635,59,7,92,1,12,86,2,9,90,1,25,74,1,13,84,3,16,82,2,14,85,1,5,93,2,4,92,4,8,90,2,9,89,2,23,75,2,24,68,8,10,10,80,62,27,11,21,41,38,2,19,79,40,40,20,50,30,20,26,53,21,45,34,21,18,61,21,17,63,20,47,32,21,24,8,7,8,53,20,53,27,40,24,5,2,2,1,26,23,17,16,19,25,2,5,6,11,47,29,3,6,12,10,42,27,24,24,14,9,29,8,12,9,43,28,28,35,0,1,36,5,20,12,13,8,5,1,36,23,17,18,42,32.3616894705532,56.5885837768879,22.265625,12.0694064856838,7.35610957217606,22.4191978508354,0.05,0.042716424707947,0.0262682943644834,0.000220765142908733,0.04,0.0384072934108425,0.0253397662815311,0.000216931608247683,0.00955734406438632,0.00246923572718096
YT,MYT,Mayotte,2021-06-02,2021-01-17,100,5,52958.8122844263,4,51086.8314179268,57,84,20,2,2013578.80699237,60,7,92,1,12,86,2,9,90,1,25,74,1,12,85,3,15,83,2,14,85,1,5,93,2,4,92,4,8,90,2,9,89,2,23,75,2,24,68,8,10,10,80,61,28,11,20,41,39,2,18,80,41,39,20,50,30,20,26,53,21,46,33,21,18,61,21,17,63,20,48,32,20,24,9,7,8,52,20,54,26,41,24,5,2,2,1,25,23,17,16,20,24,2,5,6,11,48,28,3,6,12,10,43,26,25,24,14,9,28,8,12,9,44,27,29,35,0,1,35,5,20,12,14,8,5,1,35,23,17,19,41,33.9375,58.5314059353543,22.265625,12.0694064856838,7.22354340071344,21.8385795224294,0.05,0.042716424707947,0.0263008391330506,0.000221034963181175,0.04,0.0384072934108425,0.0253711606620622,0.000217196874795195,0.00955734406438632,0.00246923572718096
