"date","country","region","population","p_cases_infected","p_cases_recent","p_cases_active"
2020-03-23,"GB","GBENG",56286961,0,0,0
2020-03-23,"GB","GBNIR",1893667,0,0,0
2020-03-23,"GB","GBSCT",5463300,0,0,0
2020-03-23,"GB","GBWLS",3152879,0,0,0
2020-03-24,"GB","GBENG",56286961,0,0,0
2020-03-24,"GB","GBNIR",1893667,0,0,0
2020-03-24,"GB","GBSCT",5463300,0.1,NA,NA
2020-03-24,"GB","GBWLS",3152879,0,0,0
2020-03-25,"GB","GBENG",56286961,0,0,0
2020-03-25,"GB","GBNIR",1893667,0,0,0
2020-03-25,"GB","GBSCT",5463300,0.1,NA,NA
2020-03-25,"GB","GBWLS",3152879,0,0,0
2020-03-26,"GB","GBENG",56286961,0,0,0
2020-03-26,"GB","GBNIR",1893667,0,0,0
2020-03-26,"GB","GBSCT",5463300,0.06,NA,NA
2020-03-26,"GB","GBWLS",3152879,0,0,0
2020-03-27,"GB","GBENG",56286961,0,0,0
2020-03-27,"GB","GBNIR",1893667,0,0,0
2020-03-27,"GB","GBSCT",5463300,0.06,NA,NA
2020-03-27,"GB","GBWLS",3152879,0,0,0
2020-03-28,"GB","GBENG",56286961,0,0,0
2020-03-28,"GB","GBNIR",1893667,0,0,0
2020-03-28,"GB","GBSCT",5463300,0.06,NA,NA
2020-03-28,"GB","GBWLS",3152879,0,0,0
2020-03-29,"GB","GBENG",56286961,0,0,0
2020-03-29,"GB","GBNIR",1893667,0,0,0
2020-03-29,"GB","GBSCT",5463300,0.06,NA,NA
2020-03-29,"GB","GBWLS",3152879,0,0,0
2020-03-30,"GB","GBENG",56286961,0,0,0
2020-03-30,"GB","GBNIR",1893667,0,0,0
2020-03-30,"GB","GBSCT",5463300,0.06,NA,NA
2020-03-30,"GB","GBWLS",3152879,0,0,0
2020-03-31,"GB","GBENG",56286961,0,0,0
2020-03-31,"GB","GBNIR",1893667,0,0,0
2020-03-31,"GB","GBSCT",5463300,0.06,NA,NA
2020-03-31,"GB","GBWLS",3152879,0,0,0
2020-04-01,"GB","GBENG",56286961,0,0,0
2020-04-01,"GB","GBNIR",1893667,0,0,0
2020-04-01,"GB","GBSCT",5463300,0.06,NA,NA
2020-04-01,"GB","GBWLS",3152879,0,0,0
2020-04-02,"GB","GBENG",56286961,0,0,0
2020-04-02,"GB","GBNIR",1893667,0,0,0
2020-04-02,"GB","GBSCT",5463300,0.06,NA,NA
2020-04-02,"GB","GBWLS",3152879,0,0,0
2020-04-03,"GB","GBENG",56286961,0,0,0
2020-04-03,"GB","GBNIR",1893667,0,0,0
2020-04-03,"GB","GBSCT",5463300,0.06,NA,NA
2020-04-03,"GB","GBWLS",3152879,0,0,0
2020-04-04,"GB","GBENG",56286961,0,0,0
2020-04-04,"GB","GBNIR",1893667,0,0,0
2020-04-04,"GB","GBSCT",5463300,0.06,NA,NA
2020-04-04,"GB","GBWLS",3152879,0,0,0
2020-04-05,"GB","GBENG",56286961,0,0,0
2020-04-05,"GB","GBNIR",1893667,0,0,0
2020-04-05,"GB","GBSCT",5463300,0.06,NA,NA
2020-04-05,"GB","GBWLS",3152879,0,0,0
2020-04-06,"GB","GBENG",56286961,0,0,0
2020-04-06,"GB","GBNIR",1893667,0,0,0
