"country","region","date","Confirmed","Deaths","Recovered","Active","ISO2","ISO3"
"Serbia",NA,2020-03-06,1,0,0,NA,"RS","SRB"
"Serbia",NA,2020-03-07,1,0,0,NA,"RS","SRB"
"Serbia",NA,2020-03-08,1,0,0,NA,"RS","SRB"
"Serbia",NA,2020-03-09,1,0,0,NA,"RS","SRB"
"Serbia",NA,2020-03-10,5,0,0,NA,"RS","SRB"
"Serbia",NA,2020-03-11,12,0,0,NA,"RS","SRB"
"Serbia",NA,2020-03-12,19,0,0,NA,"RS","SRB"
"Serbia",NA,2020-03-13,35,0,0,NA,"RS","SRB"
"Serbia",NA,2020-03-14,46,0,0,NA,"RS","SRB"
"Serbia",NA,2020-03-15,48,0,0,NA,"RS","SRB"
"Serbia",NA,2020-03-16,55,0,1,NA,"RS","SRB"
"Serbia",NA,2020-03-17,65,0,1,NA,"RS","SRB"
"Serbia",NA,2020-03-18,83,0,1,NA,"RS","SRB"
"Serbia",NA,2020-03-19,103,0,1,NA,"RS","SRB"
"Serbia",NA,2020-03-20,135,1,1,NA,"RS","SRB"
"Serbia",NA,2020-03-21,171,1,1,NA,"RS","SRB"
"Serbia",NA,2020-03-22,222,2,2,218,"RS","SRB"
"Serbia",NA,2020-03-23,249,3,3,243,"RS","SRB"
"Serbia",NA,2020-03-24,303,3,15,285,"RS","SRB"
"Serbia",NA,2020-03-25,384,4,15,365,"RS","SRB"
"Serbia",NA,2020-03-26,384,1,0,383,"RS","SRB"
"Serbia",NA,2020-03-27,457,1,0,456,"RS","SRB"
"Serbia",NA,2020-03-28,659,10,0,649,"RS","SRB"
"Serbia",NA,2020-03-29,741,13,0,728,"RS","SRB"
"Serbia",NA,2020-03-30,785,16,0,769,"RS","SRB"
"Serbia",NA,2020-03-31,900,16,0,884,"RS","SRB"
"Serbia",NA,2020-04-01,1060,28,0,1032,"RS","SRB"
"Serbia",NA,2020-04-02,1171,31,0,1140,"RS","SRB"
"Serbia",NA,2020-04-03,1476,39,0,1437,"RS","SRB"
"Serbia",NA,2020-04-04,1624,44,0,1580,"RS","SRB"
"Serbia",NA,2020-04-05,1908,51,0,1857,"RS","SRB"
"Serbia",NA,2020-04-06,2200,58,0,2142,"RS","SRB"
"Serbia",NA,2020-04-07,2447,61,0,2386,"RS","SRB"
"Serbia",NA,2020-04-08,2666,65,0,2601,"RS","SRB"
"Serbia",NA,2020-04-09,2867,66,0,2801,"RS","SRB"
"Serbia",NA,2020-04-10,3105,71,0,3034,"RS","SRB"
"Serbia",NA,2020-04-11,3380,74,0,3306,"RS","SRB"
"Serbia",NA,2020-04-12,3630,80,0,3550,"RS","SRB"
"Serbia",NA,2020-04-13,4054,85,0,3969,"RS","SRB"
"Serbia",NA,2020-04-14,4465,94,0,4371,"RS","SRB"
"Serbia",NA,2020-04-15,4873,99,0,4774,"RS","SRB"
"Serbia",NA,2020-04-16,5318,103,0,5215,"RS","SRB"
"Serbia",NA,2020-04-17,5690,110,534,5046,"RS","SRB"
"Serbia",NA,2020-04-18,5994,117,637,5240,"RS","SRB"
"Serbia",NA,2020-04-19,6318,122,753,5443,"RS","SRB"
"Serbia",NA,2020-04-20,6630,125,870,5635,"RS","SRB"
"Serbia",NA,2020-04-21,6630,125,870,5635,"RS","SRB"
"Serbia",NA,2020-04-22,6630,125,870,5635,"RS","SRB"
"Serbia",NA,2020-04-23,6630,125,870,5635,"RS","SRB"
"Serbia",NA,2020-04-24,6630,125,870,5635,"RS","SRB"
"Serbia",NA,2020-04-25,6630,125,870,5635,"RS","SRB"
"Serbia",NA,2020-04-26,6630,125,870,5635,"RS","SRB"
"Serbia",NA,2020-04-27,6630,125,870,5635,"RS","SRB"
"Serbia",NA,2020-04-28,6630,125,870,5635,"RS","SRB"
"Serbia",NA,2020-04-29,6630,125,870,5635,"RS","SRB"
"Serbia",NA,2020-04-30,9009,179,1343,7487,"RS","SRB"
"Serbia",NA,2020-05-01,9009,179,1343,7487,"RS","SRB"
"Serbia",NA,2020-05-02,9362,189,1426,7747,"RS","SRB"
"Serbia",NA,2020-05-03,9464,193,1551,7720,"RS","SRB"
"Serbia",NA,2020-05-04,9557,197,1574,7786,"RS","SRB"
"Serbia",NA,2020-05-05,9677,200,1723,7754,"RS","SRB"
"Serbia",NA,2020-05-06,9791,203,1971,7617,"RS","SRB"
"Serbia",NA,2020-05-07,9848,206,2160,7482,"RS","SRB"
"Serbia",NA,2020-05-08,9943,209,2453,7281,"RS","SRB"
