"date","region","population","sample_size","reach","sample_size_recent","reach_recent","p_cases","p_cases_error","p_fatalities","p_fatalities_error","p_recentcases","p_recentcases_error","p_cases_daily","p_cases_daily_error","p_stillsick","p_stillsick_error"
"2020/03/23","GBSCT",5463300,2,18,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/24","GBSCT",5463300,3,68,3,68,0.0735294117647059,0.0620354588482203,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/25","GBSCT",5463300,3,68,3,68,0.0735294117647059,0.0620354588482203,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/26","GBSCT",5463300,5,130,5,130,0.0461538461538462,0.0360677898293676,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/27","GBSCT",5463300,7,210,7,210,0.0285714285714286,0.0225325248045236,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/28","GBSCT",5463300,7,210,7,210,0.0285714285714286,0.0225325248045236,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/29","GBSCT",5463300,7,210,7,210,0.0285714285714286,0.0225325248045236,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/30","GBSCT",5463300,7,210,7,210,0.0285714285714286,0.0225325248045236,NA,NA,NA,NA,NA,NA,NA,NA
"2020/03/31","GBSCT",5463300,8,310,8,310,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/01","GBSCT",5463300,8,310,8,310,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/02","GBSCT",5463300,8,310,8,310,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/03","GBSCT",5463300,8,310,8,310,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/04","GBSCT",5463300,8,310,8,310,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/05","GBSCT",5463300,8,310,8,310,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/06","GBSCT",5463300,8,310,6,292,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/07","GBSCT",5463300,8,310,5,242,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/08","GBSCT",5463300,8,310,5,242,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/09","GBSCT",5463300,8,310,3,180,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/10","GBSCT",5463300,8,310,1,100,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/11","GBSCT",5463300,8,310,1,100,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/12","GBSCT",5463300,8,310,1,100,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/13","GBSCT",5463300,8,310,1,100,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/14","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/15","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/16","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/17","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/18","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/19","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/20","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/21","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/22","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/23","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/24","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/25","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/26","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/27","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/28","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/29","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/04/30","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/01","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/02","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/03","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/04","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/05","GBSCT",5463300,8,310,0,0,0.0193548387096774,0.0153362071934599,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/06","GBSCT",5463300,9,330,1,20,0.0242424242424242,0.01659396273822,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/07","GBSCT",5463300,9,330,1,20,0.0242424242424242,0.01659396273822,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/08","GBSCT",5463300,9,330,1,20,0.0242424242424242,0.01659396273822,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/09","GBSCT",5463300,9,330,1,20,0.0242424242424242,0.01659396273822,NA,NA,NA,NA,NA,NA,NA,NA
"2020/05/10","GBSCT",5463300,9,330,1,20,0.0242424242424242,0.01659396273822,NA,NA,NA,NA,NA,NA,NA,NA
